vacancy_name,company,city,salary_min,salary_max,currency,vacancy_link,site
Data engineer (Middle),Сбер. IT,Москва,,,,https://vladivostok.hh.ru/vacancy/52618921?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Software Engineer / Python developer,CRYPTO-KAIZEN,Москва,3000.0,5000.0,Usd,https://vladivostok.hh.ru/vacancy/52535473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Data Analyst \ Аналитик данных (BI, SQL, Python, Data Science)",ООО HeadHunter:: IT,Москва,170000.0,210000.0,Руб,https://vladivostok.hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Специалист по тестированию,ООО HeadHunter::QA,Москва,,,,https://vladivostok.hh.ru/vacancy/40585500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist (команда Поиска),ООО HeadHunter::Analytics/Data Science,Москва,,,,https://vladivostok.hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
QA специалист в команду Биллинга,ООО HeadHunter::QA,Москва,,,,https://vladivostok.hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Разработчик C/C++,Betterstore,Москва,,220000.0,Руб,https://vladivostok.hh.ru/vacancy/51998774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Аналитик данных,ООО HeadHunter::Департамент коммерческих операций,Москва,,,,https://vladivostok.hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Scala разработчик,Сбер. IT,Москва,,,,https://vladivostok.hh.ru/vacancy/51882397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle Analyst,ООО ПИК-Аренда,Москва,,,,https://vladivostok.hh.ru/vacancy/52430372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Специалист DevOps,Сбер для экспертов,Москва,,,,https://vladivostok.hh.ru/vacancy/51911001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Ведущий аналитик (Machine Learning, SAS)",Ингосстрах,Москва,,,,https://vladivostok.hh.ru/vacancy/52433607?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
QA engineer,Сбер. IT,Москва,,,,https://vladivostok.hh.ru/vacancy/50585453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Machine Learning Team Lead,APALON,Москва,,,,https://vladivostok.hh.ru/vacancy/49248543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior разработчик Python Django,ООО Инсейлс Рус,Москва,40000.0,80000.0,Руб,https://vladivostok.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,Эрней Николай,Москва,600000.0,1800000.0,Руб,https://vladivostok.hh.ru/vacancy/52631700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик,Точка,Москва,,380000.0,Руб,https://vladivostok.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior Data Engineer (Python),DataFork,Москва,150000.0,190000.0,Руб,https://vladivostok.hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior Python Developer,ООО АКХ,Москва,,80000.0,Руб,https://vladivostok.hh.ru/vacancy/52348563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior Data Engineer,Метр Квадратный,Москва,150000.0,,Руб,https://vladivostok.hh.ru/vacancy/52693378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик (senior) (backend)/ Backend Team lead,ООО Лендсбэй,Москва,,500000.0,Руб,https://vladivostok.hh.ru/vacancy/43941903?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик,ЗАО НОРСИ-ТРАНС,Москва,80000.0,120000.0,Руб,https://vladivostok.hh.ru/vacancy/50861856?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Программирующий математик / Алгоритмист (на Кипр),Skanestas Investments Limited,Москва,4000.0,,Eur,https://vladivostok.hh.ru/vacancy/51532651?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Backend developer (Python),ООО Константа,Москва,250000.0,,Руб,https://vladivostok.hh.ru/vacancy/48725584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Developer,ООО Хайс,Москва,140000.0,180000.0,Руб,https://vladivostok.hh.ru/vacancy/52501064?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Разработчик,Quiet Media,Москва,,,,https://vladivostok.hh.ru/vacancy/51844620?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Developer,Aviasales.ru,Москва,,,,https://vladivostok.hh.ru/vacancy/52035797?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python developer,NetworkOptix,Москва,4000.0,,Usd,https://vladivostok.hh.ru/vacancy/51948050?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle+ Python Developer (Django),Remokate,Москва,160000.0,250000.0,Руб,https://vladivostok.hh.ru/vacancy/52467287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
