,_id,ID,Name,global_id,Photo,AdmArea,District,DepartmentalAffiliation,Address,Capacity,ObjectOperOrgName,ObjectOperOrgPhone,Longitude_WGS84,Latitude_WGS84,geoData,geodata_center
0,624b10b84174701856b96df4,32,Велосипедная парковка № 37124 «Гимназия № 1506»,2757725,4b2327b3-55af-4ff1-ab55-786c1d199557,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Широкая улица, дом 1А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.650781,55.889628,"{'coordinates': [37.650781, 55.889628], 'type': 'Point'}","{'coordinates': [37.650781, 55.889628], 'type': 'Point'}"
1,624b10b84174701856b96df5,35,Велосипедная парковка № 37018 «Школа здоровья № 266»,2757728,87a68eb2-aa64-47e7-8970-998244ba36bd,Северо-Восточный административный округ,район Лианозово,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Череповецкая улица, дом 10А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.570777,55.896533,"{'coordinates': [37.570777, 55.896533], 'type': 'Point'}","{'coordinates': [37.570777, 55.896533], 'type': 'Point'}"
2,624b10b84174701856b96df6,36,Велосипедная парковка № 37106 «Центр образования № 1459»,2757729,da0d57c7-03f4-47d7-b7e6-291d87f517bd,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 11А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.612922,55.857407,"{'coordinates': [37.612922, 55.857407], 'type': 'Point'}","{'coordinates': [37.612922, 55.857407], 'type': 'Point'}"
3,624b10b84174701856b96df7,38,Велосипедная парковка № 37017 «Школа № 263»,2757731,21da1cde-ed77-4508-880a-bf29ff90db84,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 11Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.613732,55.856873,"{'coordinates': [37.613732, 55.856873], 'type': 'Point'}","{'coordinates': [37.613732, 55.856873], 'type': 'Point'}"
4,624b10b84174701856b96df8,40,Велосипедная парковка № 37061 «Школа № 950»,2757733,9e8b9d52-6939-478e-ae10-20dd9dffd969,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Отрадная улица, дом 1А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.604736,55.859911,"{'coordinates': [37.604736, 55.859911], 'type': 'Point'}","{'coordinates': [37.604736, 55.859911], 'type': 'Point'}"
5,624b10b84174701856b96df9,2,Велосипедная парковка № 37026 «Школа № 301»,2757735,89259401-36c8-4b51-b6af-8752032c53bf,Северо-Восточный административный округ,Алтуфьевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Алтуфьевское шоссе, дом 60Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.591231,55.883355,"{'coordinates': [37.591231, 55.883355], 'type': 'Point'}","{'coordinates': [37.591231, 55.883355], 'type': 'Point'}"
6,624b10b84174701856b96dfa,5,Велосипедная парковка № 37085 «Школа № 1414»,2757738,6b46272a-c85b-404e-86f9-6de2a03fdcf4,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Советской Армии, дом 9",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.616177,55.789416,"{'coordinates': [37.616177, 55.789416], 'type': 'Point'}","{'coordinates': [37.616177, 55.789416], 'type': 'Point'}"
7,624b10b84174701856b96dfb,7,Велосипедная парковка № 37004 «Школа № 242»,2757740,e707d6b5-6b5d-4406-b5fe-c41871723a1b,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"1-й проезд Марьиной Рощи, дом 3А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.622192,55.793707,"{'coordinates': [37.622192, 55.793707], 'type': 'Point'}","{'coordinates': [37.622192, 55.793707], 'type': 'Point'}"
8,624b10b84174701856b96dfc,8,Велосипедная парковка № 37158 «Спецшкола - интернат № 35»,2757741,2676ca53-7b00-4fae-98b4-6712f07ffe43,Северо-Восточный административный округ,район Марьина Роща,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Новосущёвская улица, дом 7",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.603125,55.787099,"{'coordinates': [37.603125, 55.787099], 'type': 'Point'}","{'coordinates': [37.603125, 55.787099], 'type': 'Point'}"
9,624b10b84174701856b96dfd,12,Велосипедная парковка № 37096 «Центр образования № 293»,2757745,8a2dd79b-88f2-4f24-9744-a18582d6a6ee,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославская улица, дом 27",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.653290,55.827312,"{'coordinates': [37.65329, 55.827312], 'type': 'Point'}","{'coordinates': [37.65329, 55.827312], 'type': 'Point'}"
